Clothing_Barcode,Clothing_Category,LocationID,Selling_Price,Clothing_Type,Clothing_Description,Clothing_Brand,Clothing_Size,Clothing_Color,Clothing_Gender,Clothing_Condition
46,5,3,7,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
47,5,3,9,Shirt,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
48,5,2,45,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
49,1,1,10,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
50,3,2,40,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
51,4,3,35,Shoes,Old cowboy boots,Tough,13,Brown,Male,Good
52,3,2,36,Shoes,High Heels Red,Vanity,6,Red,Female,Great
53,1,2,18,Shirt,Classic Levy Shirt,Levy,M,Grey,Female,Fair
54,1,2,22,Shorts,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
55,1,2,30,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
56,6,1,12,Hat,Carhart logo hat,Carhart,M,Brown,Unisex,Good
57,5,1,22,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
58,5,1,40,Pants,Old trendy black high waisted,Levy,30,Black,Female,Good
59,1,1,32,Sweatshirt,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
60,1,1,30,Shorts,Short shorts jene style,Levy,29,Blue,Female,Great
61,5,1,10,Shirt,Small brown phish shirt - 1997,Concert,S,Brown,Male,Poor
62,3,1,25,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
63,1,1,15,Shirt,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
64,1,1,25,Pants,classic jenes,Levy,34,Blue,Male,Fair
65,2,1,30,Pants,Drapey paper bag pants,Madewell,6,Orange,Female,Great
66,6,1,15,Jacket,Solid dual pocket denim,Levy,M,Blue,Female,Poor
67,1,3,10,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
68,3,3,20,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
69,6,3,40,Jacket,Puffy winter coat,Volcom,L,Red,Male,Good
70,1,3,20,Shoes,classic vans,Vans,11,Red,Male,Good
71,1,3,20,Shoes,classic vans,Vans,10,Black,Male,Good
72,3,3,45,Shoes,stomper boots,black,8,Black,Female,Great
73,3,3,20,Dress,light twirly dress,Free People,4,Pink,Female,Good
74,1,3,10,Jacket,Classic jene jacket,Levy,L,Blue,Unisex,Fair
75,1,3,17,Sweatshirt,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
76,5,2,7,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
77,5,2,9,Shirt,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
78,5,1,45,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
79,1,1,10,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
80,3,1,40,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
81,4,3,35,Shoes,Old cowboy boots,Tough,13,Brown,Male,Good
82,3,3,36,Shoes,High Heels Red,Vanity,6,Red,Female,Great
83,1,3,18,Shirt,Classic Levy Shirt,Levy,M,Grey,Female,Fair
84,1,3,22,Shorts,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
85,1,3,30,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
86,6,1,12,Hat,Carhart logo hat,Carhart,M,Brown,Unisex,Good
87,5,2,22,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
88,5,1,40,Pants,Old trendy black high waisted,Levy,30,Black,Female,Good
89,1,1,32,Sweatshirt,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
90,1,1,30,Shorts,Short shorts jene style,Levy,29,Blue,Female,Great
91,5,1,10,Shirt,Small brown phish shirt - 1997,Concert,S,Brown,Male,Poor
92,3,1,25,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
93,1,1,15,Shirt,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
94,1,1,25,Pants,classic jenes,Levy,34,Blue,Male,Fair
95,2,3,30,Pants,Drapey paper bag pants,Madewell,6,Orange,Female,Great
96,6,3,15,Jacket,Solid dual pocket denim,Levy,M,Blue,Female,Poor
97,1,3,10,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
98,3,3,20,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
99,6,3,40,Jacket,Puffy winter coat,Volcom,L,Red,Male,Good
100,1,3,20,Shoes,classic vans,Vans,11,Red,Male,Good
101,1,3,20,Shoes,classic vans,Vans,10,Black,Male,Good
102,3,3,45,Shoes,stomper boots,black,8,Black,Female,Great
103,3,3,20,Dress,light twirly dress,Free People,4,Pink,Female,Good
104,1,3,10,Jacket,Classic jene jacket,Levy,L,Blue,Unisex,Fair
105,1,3,17,Sweatshirt,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
106,5,3,7,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
107,5,3,9,Shirt,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
108,5,2,45,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
109,1,1,10,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
110,3,2,40,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
111,4,3,35,Shoes,Old cowboy boots,Tough,13,Brown,Male,Good
112,3,2,36,Shoes,High Heels Red,Vanity,6,Red,Female,Great
113,1,2,18,Shirt,Classic Levy Shirt,Levy,M,Grey,Female,Fair
114,1,2,22,Shorts,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
115,1,2,30,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
116,6,1,12,Hat,Carhart logo hat,Carhart,M,Brown,Unisex,Good
117,5,1,22,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
118,5,1,40,Pants,Old trendy black high waisted,Levy,30,Black,Female,Good
119,1,1,32,Sweatshirt,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
120,1,1,30,Shorts,Short shorts jene style,Levy,29,Blue,Female,Great
121,6,1,34,Shirt,Small brown phish shirt - 1998,Concert,S,Brown,Male,Poor
122,4,1,23,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
123,1,2,51,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
124,3,3,21,Jacket,classic jenes,Levy,34,Blue,Male,Fair
125,2,2,69,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Great
126,4,2,31,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Poor
127,4,2,58,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
128,4,1,28,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
129,2,1,43,Hat,Puffy winter coat,Volcom,L,Red,Male,Good
130,3,3,53,Shirt,classic vans,Vans,11,Red,Male,Good
131,1,3,27,Dress,classic vans,Vans,10,Black,Female,Good
132,5,3,25,Pants,stomper boots,black,8,Black,Female,Great
133,6,1,42,Jacket,light twirly dress,Free People,4,Pink,Female,Good
134,1,3,33,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Fair
135,2,1,54,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
136,5,1,56,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
137,2,3,63,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
138,5,3,23,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
139,5,1,62,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
140,1,3,56,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
141,2,1,16,Pants,Old cowboy boots,Tough,13,Brown,Male,Good
142,2,1,43,Jacket,High Heels Red,Vanity,6,Red,Female,Great
143,4,2,46,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Fair
144,1,3,45,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
145,3,2,58,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
146,5,1,64,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Good
147,2,1,57,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
148,2,3,54,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Good
149,5,1,66,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Good
150,6,3,30,Pants,Short shorts jene style,Levy,29,Blue,Female,Great
151,2,2,47,Jacket,Small brown phish shirt - 1998,Concert,S,Brown,Male,Poor
152,3,1,15,Vest,light purple flowery dress,Lulus,4,Purple,Female,Great
153,3,1,27,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
154,2,3,55,Sweatshirt,classic jenes,Levy,34,Blue,Male,Fair
155,2,2,28,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Great
156,1,1,41,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Poor
157,5,2,18,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
158,1,3,47,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Fair
159,2,2,62,Pants,Puffy winter coat,Volcom,L,Red,Male,Good
160,5,3,46,Jacket,classic vans,Vans,11,Red,Male,Good
161,3,3,37,Vest,classic vans,Vans,10,Black,Male,Good
162,1,2,38,Shoes,stomper boots,black,8,Black,Female,Great
163,4,1,66,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
164,3,1,34,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Fair
165,2,2,44,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
166,1,1,16,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
167,5,1,16,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Fair
168,4,1,29,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
169,3,3,57,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
170,1,2,44,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
171,4,3,48,Shoes,Old cowboy boots,Tough,13,Brown,Male,Good
172,1,1,51,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Great
173,6,1,69,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Fair
174,1,1,61,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
175,3,3,36,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
176,6,1,39,Dress,Carhart logo hat,Carhart,M,Brown,Female,Good
177,5,2,66,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
178,1,3,23,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Good
179,5,1,22,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
180,2,2,58,Shoes,Short shorts jene style,Levy,29,Blue,Female,Great
181,2,1,33,Sweatshirt,Small brown phish shirt - 1998,Concert,S,Brown,Male,Poor
182,5,1,34,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Great
183,1,2,46,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
184,3,2,58,Shirt,classic jenes,Levy,34,Blue,Male,Fair
185,1,1,27,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Great
186,2,2,62,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Poor
187,2,3,69,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
188,5,3,28,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
189,4,2,67,Shoes,Puffy winter coat,Volcom,L,Red,Male,Good
190,5,3,48,Sweatshirt,classic vans,Vans,11,Red,Male,Good
191,1,2,40,Shorts,classic vans,Vans,10,Black,Male,Good
192,2,3,58,Hat,stomper boots,black,8,Black,Female,Great
193,5,3,69,Shirt,light twirly dress,Free People,4,Pink,Female,Good
194,6,2,24,Dress,Classic jene jacket,Levy,L,Blue,Female,Fair
195,5,1,33,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
196,3,1,20,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
197,2,3,30,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
198,6,2,22,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
199,5,1,39,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
200,2,2,57,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
201,5,2,58,Hat,Old cowboy boots,Tough,13,Brown,Male,Good
202,3,1,62,Shirt,High Heels Red,Vanity,6,Red,Female,Great
203,3,1,25,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Fair
204,5,2,32,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
205,5,3,43,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
206,2,1,15,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Good
207,6,1,18,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
208,4,2,61,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Good
209,4,1,33,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
210,5,3,29,Hat,Short shorts jene style,Levy,29,Blue,Female,Great
211,3,3,20,Shirt,Small brown phish shirt - 1998,Concert,S,Brown,Male,Poor
212,5,2,56,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
213,2,2,66,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
214,6,3,68,Jacket,classic jenes,Levy,34,Blue,Male,Fair
215,6,2,32,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Great
216,3,1,46,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Poor
217,1,3,21,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
218,2,2,64,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
219,1,2,66,Hat,Puffy winter coat,Volcom,L,Red,Male,Good
220,2,1,18,Shirt,classic vans,Vans,11,Red,Male,Good
221,2,3,62,Dress,classic vans,Vans,10,Black,Female,Good
222,3,3,66,Pants,stomper boots,black,8,Black,Female,Great
223,4,1,44,Jacket,light twirly dress,Free People,4,Pink,Female,Good
224,5,3,66,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Fair
225,6,3,60,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
226,2,3,70,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
227,1,1,21,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
228,3,3,58,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
229,2,1,41,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
230,3,3,64,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
231,1,2,34,Pants,Old cowboy boots,Tough,13,Brown,Male,Good
232,6,3,45,Jacket,High Heels Red,Vanity,6,Red,Female,Great
233,2,1,15,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Fair
234,4,2,58,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
235,5,2,28,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
236,4,1,43,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Good
237,6,1,54,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
238,3,3,38,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Good
239,5,2,55,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Good
240,3,1,65,Pants,Short shorts jene style,Levy,29,Blue,Female,Great
241,5,3,53,Jacket,Small brown phish shirt - 1999,Concert,S,Brown,Male,Poor
242,2,2,31,Vest,light purple flowery dress,Lulus,4,Purple,Female,Great
243,3,1,69,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
244,3,3,48,Sweatshirt,classic jenes,Levy,34,Blue,Male,Fair
245,1,3,48,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Great
246,4,1,21,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Poor
247,1,3,30,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
248,1,1,49,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Fair
249,3,2,17,Pants,Puffy winter coat,Volcom,L,Red,Male,Good
250,5,1,64,Jacket,classic vans,Vans,11,Red,Male,Good
251,4,1,69,Vest,classic vans,Vans,10,Black,Male,Good
252,5,2,49,Shoes,stomper boots,black,8,Black,Female,Great
253,1,1,43,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
254,3,2,51,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Fair
255,4,1,17,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
256,6,1,68,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
257,4,1,25,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Fair
258,1,2,66,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
259,1,1,50,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
260,4,2,54,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
261,2,1,54,Shoes,Old cowboy boots,Tough,13,Brown,Male,Good
262,6,3,15,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Great
263,5,2,66,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Fair
264,1,2,19,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
265,6,2,46,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
266,5,3,26,Dress,Carhart logo hat,Carhart,M,Brown,Female,Good
267,4,2,66,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
268,4,1,22,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Good
269,1,2,38,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
270,4,2,33,Shoes,Short shorts jene style,Levy,29,Blue,Female,Great
271,2,2,43,Sweatshirt,Small brown phish shirt - 1999,Concert,S,Brown,Male,Poor
272,2,2,30,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Great
273,1,2,21,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
274,1,1,68,Shirt,classic jenes,Levy,34,Blue,Male,Fair
275,4,2,48,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Great
276,5,1,60,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Poor
277,5,2,51,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
278,5,2,64,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
279,1,1,22,Shoes,Puffy winter coat,Volcom,L,Red,Male,Good
280,6,3,57,Sweatshirt,classic vans,Vans,11,Red,Male,Good
281,6,3,45,Shorts,classic vans,Vans,10,Black,Male,Good
282,5,2,19,Hat,stomper boots,black,8,Black,Female,Great
283,3,3,63,Shirt,light twirly dress,Free People,4,Pink,Female,Good
284,4,1,18,Dress,Classic jene jacket,Levy,L,Blue,Female,Fair
285,3,3,65,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
286,3,1,65,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
287,4,2,19,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
288,3,2,70,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
289,2,3,30,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
290,2,1,39,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
291,5,1,48,Hat,Old cowboy boots,Tough,13,Brown,Male,Good
292,3,2,18,Shirt,High Heels Red,Vanity,6,Red,Female,Great
293,4,1,23,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Fair
294,5,2,45,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
295,4,1,26,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
296,5,3,35,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Good
297,3,3,28,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
298,5,3,54,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Good
299,4,2,16,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
300,3,1,15,Hat,Short shorts jene style,Levy,29,Blue,Female,Great
301,6,2,48,Shirt,Small brown phish shirt - 1999,Concert,S,Brown,Male,Poor
302,4,2,63,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
303,2,3,37,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
304,3,1,47,Jacket,classic jenes,Levy,34,Blue,Male,Fair
305,4,3,52,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Great
306,6,3,22,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Poor
307,5,2,34,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
308,4,2,21,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
309,3,1,38,Hat,Puffy winter coat,Volcom,L,Red,Male,Good
310,1,1,62,Shirt,classic vans,Vans,11,Red,Male,Good
311,6,3,59,Dress,classic vans,Vans,10,Black,Female,Good
312,2,3,56,Pants,stomper boots,black,8,Black,Female,Great
313,1,3,63,Jacket,light twirly dress,Free People,4,Pink,Female,Good
314,6,3,34,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Fair
315,6,3,21,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
316,4,2,38,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
317,5,2,22,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
318,5,1,40,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
319,3,2,46,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
320,1,2,69,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
321,5,2,57,Pants,Old cowboy boots,Tough,13,Brown,Male,Good
322,3,3,55,Jacket,High Heels Red,Vanity,6,Red,Female,Great
323,5,1,49,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Fair
324,1,2,44,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
325,3,1,28,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
326,6,1,38,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Good
327,4,1,24,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
328,5,3,44,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Good
329,5,3,51,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Good
330,6,3,65,Pants,Short shorts jene style,Levy,29,Blue,Female,Great
331,1,3,68,Jacket,Small brown phish shirt - 1999,Concert,S,Brown,Male,Poor
332,3,2,40,Vest,light purple flowery dress,Lulus,4,Purple,Female,Great
333,1,2,64,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
334,3,1,35,Sweatshirt,classic jenes,Levy,34,Blue,Male,Fair
335,4,1,39,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Great
336,5,3,58,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Poor
337,5,3,69,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
338,3,3,40,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Fair
339,6,1,60,Pants,Puffy winter coat,Volcom,L,Red,Male,Good
