Fabric_ID,Fabric_Type,Fabric_Weight,Stitch_Type,Num_Layers,Num_Threads,Fabric_Thickness
95,Leather,8,Two Needle,1,20,0.1134
96,Leather,9,Two Needle,1,20,0.10011
97,Cotton,5.34,Overlock,3,150,0.0001
98,Polyester,4.44,Overlock,2,80,0.00045
99,Cotton,7.77,Topstitching,6,90,0.00326
100,Polyester,6.67,Topstitching,4,110,0.00034
101,Canvas,13.33,Topstitching,5,70,0.0098
102,Canvas,12.11,Topstitching,5,90,0.0118
103,Cotton,16.12,Upholstery,5,100,0.0192
104,Cotton,9.83,Overlock,7,150,0.00567
105,Cotton,13.12,Upholstery,6,120,0.021
106,Polyester,5.34,Overlock,3,90,0.0008
107,Silk,8.99,Topstitching,4,120,0.001
108,Cotton,5.04,Overlock,2,80,0.0008
109,Polyester,5.34,Overlock,1,80,0.0008
110,Cotton,14.99,Upholstery,5,150,0.01
111,Linen,9.08,Upholstery,6,200,0.011
112,Cotton,13.23,Upholstery,5,120,0.0092
113,Cotton,5.34,Overlock,2,100,0.0009
114,Polyester,5.34,Overlock,1,80,0.0008
115,Wool,7.78,Woven,4,80,0.015
116,Cotton,8.89,Straight,3,250,0.21
117,Canvas,13.67,Topstitching,5,150,0.0081
118,Canvas,13.67,Topstitching,5,150,0.0081
119,Leather,8,Two Needle,1,20,0.1093
120,Satin,5.34,Twill,2,100,0.0081
121,Lace,4.11,Embroidery,1,60,0.007
122,Cotton,16.7,Upholstery,5,150,0.203
123,Cotton,8.88,Overlock,3,100,0.00102
124,Polyester,5.34,Overlock,2,90,0.0008
125,Cotton,5.11,Overlock,2,90,0.0009
126,Polyester,5.21,Overlock,1,80,0.0007
127,Cotton,5.34,Topstitching,3,100,0.0021
128,Cotton,5.34,Overlock,3,120,0.0007
129,Silk,8.84,Topstitching,4,140,0.002
130,Leather,8,Two Needle,1,20,0.1134
131,Leather,9,Two Needle,1,20,0.10011
132,Cotton,5.34,Overlock,3,150,0.0001
133,Polyester,4.44,Overlock,2,80,0.00045
134,Cotton,7.77,Topstitching,6,90,0.00326
135,Polyester,6.67,Topstitching,4,110,0.00034
136,Canvas,13.33,Topstitching,5,70,0.0098
137,Canvas,12.11,Topstitching,5,90,0.0118
138,Cotton,16.12,Upholstery,5,100,0.0192
139,Cotton,9.83,Overlock,7,150,0.00567
140,Cotton,13.12,Upholstery,6,120,0.021
141,Polyester,5.34,Overlock,3,90,0.0008
142,Silk,8.99,Topstitching,4,120,0.001
143,Cotton,5.04,Overlock,2,80,0.0008
144,Polyester,5.34,Overlock,1,80,0.0008
145,Cotton,14.99,Upholstery,5,150,0.01
146,Linen,9.08,Upholstery,6,200,0.011
147,Cotton,13.23,Upholstery,5,120,0.0092
148,Cotton,5.34,Overlock,2,100,0.0009
149,Polyester,5.34,Overlock,1,80,0.0008
150,Wool,7.78,Woven,4,80,0.015
151,Cotton,8.89,Straight,3,250,0.21
152,Canvas,13.67,Topstitching,5,150,0.0081
153,Canvas,13.67,Topstitching,5,150,0.0081
154,Leather,8,Two Needle,1,20,0.1093
155,Satin,5.34,Twill,2,100,0.0081
156,Lace,4.11,Embroidery,1,60,0.007
157,Cotton,16.7,Upholstery,5,150,0.203
158,Cotton,8.88,Overlock,3,100,0.00102
159,Polyester,5.34,Overlock,2,90,0.0008
160,Cotton,5.11,Overlock,2,90,0.0009
161,Polyester,5.21,Overlock,1,80,0.0007
162,Cotton,5.34,Topstitching,3,100,0.0021
163,Cotton,5.34,Overlock,3,120,0.0007
164,Silk,8.84,Topstitching,4,140,0.002
165,Leather,8,Two Needle,1,20,0.1134
166,Leather,9,Two Needle,1,20,0.10011
167,Cotton,5.34,Overlock,3,150,0.0001
168,Polyester,4.44,Overlock,2,80,0.00045
169,Cotton,7.77,Topstitching,6,90,0.00326
170,Polyester,6.67,Topstitching,4,110,0.00034
171,Canvas,13.33,Topstitching,5,70,0.0098
172,Canvas,12.11,Topstitching,5,90,0.0118
173,Cotton,16.12,Upholstery,5,100,0.0192
174,Cotton,9.83,Overlock,7,150,0.00567
175,Cotton,13.12,Upholstery,6,120,0.021
176,Polyester,5.34,Overlock,3,90,0.0008
177,Silk,8.99,Topstitching,4,120,0.001
178,Cotton,5.04,Overlock,2,80,0.0008
179,Polyester,5.34,Overlock,1,80,0.0008
180,Cotton,14.99,Upholstery,5,150,0.01
181,Linen,9.08,Upholstery,6,200,0.011
182,Cotton,13.23,Upholstery,5,120,0.0092
183,Cotton,5.34,Overlock,2,100,0.0009
184,Polyester,5.34,Overlock,1,80,0.0008
185,Wool,7.78,Woven,4,80,0.015
186,Cotton,8.89,Straight,3,250,0.21
187,Canvas,13.67,Topstitching,5,150,0.0081
188,Canvas,13.67,Topstitching,5,150,0.0081
189,Leather,8,Two Needle,1,20,0.1093
190,Satin,5.34,Twill,2,100,0.0081
191,Lace,4.11,Embroidery,1,60,0.007
192,Cotton,16.7,Upholstery,5,150,0.203
193,Cotton,8.88,Overlock,3,100,0.00102
194,Polyester,5.34,Overlock,2,90,0.0008
195,Cotton,5.11,Overlock,2,90,0.0009
196,Polyester,5.21,Overlock,1,80,0.0007
197,Cotton,5.34,Topstitching,3,100,0.0021
198,Cotton,5.34,Overlock,3,120,0.0007
199,Silk,8.84,Topstitching,4,140,0.002
200,Leather,8,Two Needle,1,20,0.1134
201,Leather,9,Two Needle,1,20,0.10011
202,Cotton,5.34,Overlock,3,150,0.0001
203,Polyester,4.44,Overlock,2,80,0.00045
204,Cotton,7.77,Topstitching,6,90,0.00326
205,Polyester,6.67,Topstitching,4,110,0.00034
206,Canvas,13.33,Topstitching,5,70,0.0098
207,Canvas,12.11,Topstitching,5,90,0.0118
208,Cotton,16.12,Upholstery,5,100,0.0192
209,Cotton,9.83,Overlock,7,150,0.00567
210,Cotton,13.12,Upholstery,6,120,0.021
211,Polyester,5.34,Overlock,3,90,0.0008
212,Silk,8.99,Topstitching,4,120,0.001
213,Cotton,5.04,Overlock,2,80,0.0008
214,Polyester,5.34,Overlock,1,80,0.0008
215,Cotton,14.99,Upholstery,5,150,0.01
216,Linen,9.08,Upholstery,6,200,0.011
217,Cotton,13.23,Upholstery,5,120,0.0092
218,Cotton,5.34,Overlock,2,100,0.0009
219,Polyester,5.34,Overlock,1,80,0.0008
220,Wool,7.78,Woven,4,80,0.015
221,Cotton,8.89,Straight,3,250,0.21
222,Canvas,13.67,Topstitching,5,150,0.0081
223,Canvas,13.67,Topstitching,5,150,0.0081
224,Leather,8,Two Needle,1,20,0.1093
225,Satin,5.34,Twill,2,100,0.0081
226,Lace,4.11,Embroidery,1,60,0.007
227,Cotton,16.7,Upholstery,5,150,0.203
228,Cotton,8.88,Overlock,3,100,0.00102
229,Polyester,5.34,Overlock,2,90,0.0008
230,Cotton,5.11,Overlock,2,90,0.0009
231,Polyester,5.21,Overlock,1,80,0.0007
232,Cotton,5.34,Topstitching,3,100,0.0021
233,Cotton,5.34,Overlock,3,120,0.0007
234,Silk,8.84,Topstitching,4,140,0.002
235,Leather,8,Two Needle,1,20,0.1134
236,Leather,9,Two Needle,1,20,0.10011
237,Cotton,5.34,Overlock,3,150,0.0001
238,Polyester,4.44,Overlock,2,80,0.00045
239,Cotton,7.77,Topstitching,6,90,0.00326
240,Polyester,6.67,Topstitching,4,110,0.00034
241,Canvas,13.33,Topstitching,5,70,0.0098
242,Canvas,12.11,Topstitching,5,90,0.0118
243,Cotton,16.12,Upholstery,5,100,0.0192
244,Cotton,9.83,Overlock,7,150,0.00567
245,Cotton,13.12,Upholstery,6,120,0.021
246,Polyester,5.34,Overlock,3,90,0.0008
247,Silk,8.99,Topstitching,4,120,0.001
248,Cotton,5.04,Overlock,2,80,0.0008
249,Polyester,5.34,Overlock,1,80,0.0008
250,Cotton,14.99,Upholstery,5,150,0.01
251,Linen,9.08,Upholstery,6,200,0.011
252,Cotton,13.23,Upholstery,5,120,0.0092
253,Cotton,5.34,Overlock,2,100,0.0009
254,Polyester,5.34,Overlock,1,80,0.0008
255,Wool,7.78,Woven,4,80,0.015
256,Cotton,8.89,Straight,3,250,0.21
257,Canvas,13.67,Topstitching,5,150,0.0081
258,Canvas,13.67,Topstitching,5,150,0.0081
259,Leather,8,Two Needle,1,20,0.1093
260,Satin,5.34,Twill,2,100,0.0081
261,Lace,4.11,Embroidery,1,60,0.007
262,Cotton,16.7,Upholstery,5,150,0.203
263,Cotton,8.88,Overlock,3,100,0.00102
264,Polyester,5.34,Overlock,2,90,0.0008
265,Cotton,5.11,Overlock,2,90,0.0009
266,Polyester,5.21,Overlock,1,80,0.0007
267,Cotton,5.34,Topstitching,3,100,0.0021
268,Cotton,5.34,Overlock,3,120,0.0007
269,Silk,8.84,Topstitching,4,140,0.002
270,Leather,8,Two Needle,1,20,0.1134
271,Leather,9,Two Needle,1,20,0.10011
272,Cotton,5.34,Overlock,3,150,0.0001
273,Polyester,4.44,Overlock,2,80,0.00045
274,Cotton,7.77,Topstitching,6,90,0.00326
275,Polyester,6.67,Topstitching,4,110,0.00034
276,Canvas,13.33,Topstitching,5,70,0.0098
277,Canvas,12.11,Topstitching,5,90,0.0118
278,Cotton,16.12,Upholstery,5,100,0.0192
279,Cotton,9.83,Overlock,7,150,0.00567
280,Cotton,13.12,Upholstery,6,120,0.021
281,Polyester,5.34,Overlock,3,90,0.0008
282,Silk,8.99,Topstitching,4,120,0.001
283,Cotton,5.04,Overlock,2,80,0.0008
284,Polyester,5.34,Overlock,1,80,0.0008
285,Cotton,14.99,Upholstery,5,150,0.01
286,Linen,9.08,Upholstery,6,200,0.011
287,Cotton,13.23,Upholstery,5,120,0.0092
288,Cotton,5.34,Overlock,2,100,0.0009
289,Polyester,5.34,Overlock,1,80,0.0008
290,Wool,7.78,Woven,4,80,0.015
291,Cotton,8.89,Straight,3,250,0.21
292,Canvas,13.67,Topstitching,5,150,0.0081
293,Canvas,13.67,Topstitching,5,150,0.0081
294,Leather,8,Two Needle,1,20,0.1093
295,Satin,5.34,Twill,2,100,0.0081
296,Lace,4.11,Embroidery,1,60,0.007
297,Cotton,16.7,Upholstery,5,150,0.203
298,Cotton,8.88,Overlock,3,100,0.00102
299,Polyester,5.34,Overlock,2,90,0.0008
300,Cotton,5.11,Overlock,2,90,0.0009
301,Polyester,5.21,Overlock,1,80,0.0007
302,Cotton,5.34,Topstitching,3,100,0.0021
303,Cotton,5.34,Overlock,3,120,0.0007
304,Silk,8.84,Topstitching,4,140,0.002
305,Leather,8,Two Needle,1,20,0.1134
306,Leather,9,Two Needle,1,20,0.10011
307,Cotton,5.34,Overlock,3,150,0.0001
308,Polyester,4.44,Overlock,2,80,0.00045
309,Cotton,7.77,Topstitching,6,90,0.00326
310,Polyester,6.67,Topstitching,4,110,0.00034
311,Canvas,13.33,Topstitching,5,70,0.0098
312,Canvas,12.11,Topstitching,5,90,0.0118
313,Cotton,16.12,Upholstery,5,100,0.0192
314,Cotton,9.83,Overlock,7,150,0.00567
315,Cotton,13.12,Upholstery,6,120,0.021
316,Polyester,5.34,Overlock,3,90,0.0008
317,Silk,8.99,Topstitching,4,120,0.001
318,Cotton,5.04,Overlock,2,80,0.0008
319,Polyester,5.34,Overlock,1,80,0.0008
320,Cotton,14.99,Upholstery,5,150,0.01
321,Linen,9.08,Upholstery,6,200,0.011
322,Cotton,13.23,Upholstery,5,120,0.0092
323,Cotton,5.34,Overlock,2,100,0.0009
324,Polyester,5.34,Overlock,1,80,0.0008
325,Wool,7.78,Woven,4,80,0.015
326,Cotton,8.89,Straight,3,250,0.21
327,Canvas,13.67,Topstitching,5,150,0.0081
328,Canvas,13.67,Topstitching,5,150,0.0081
329,Leather,8,Two Needle,1,20,0.1093
330,Satin,5.34,Twill,2,100,0.0081
331,Lace,4.11,Embroidery,1,60,0.007
332,Cotton,16.7,Upholstery,5,150,0.203
333,Cotton,8.88,Overlock,3,100,0.00102
334,Polyester,5.34,Overlock,2,90,0.0008
335,Cotton,5.11,Overlock,2,90,0.0009
336,Polyester,5.21,Overlock,1,80,0.0007
337,Cotton,5.34,Topstitching,3,100,0.0021
338,Cotton,5.34,Overlock,3,120,0.0007
339,Silk,8.84,Topstitching,4,140,0.002
340,Leather,8,Two Needle,1,20,0.1134
341,Leather,9,Two Needle,1,20,0.10011
342,Cotton,5.34,Overlock,3,150,0.0001
343,Polyester,4.44,Overlock,2,80,0.00045
344,Cotton,7.77,Topstitching,6,90,0.00326
345,Polyester,6.67,Topstitching,4,110,0.00034
346,Canvas,13.33,Topstitching,5,70,0.0098
347,Canvas,12.11,Topstitching,5,90,0.0118
348,Cotton,16.12,Upholstery,5,100,0.0192
349,Cotton,9.83,Overlock,7,150,0.00567
350,Cotton,13.12,Upholstery,6,120,0.021
351,Polyester,5.34,Overlock,3,90,0.0008
352,Silk,8.99,Topstitching,4,120,0.001
353,Cotton,5.04,Overlock,2,80,0.0008
354,Polyester,5.34,Overlock,1,80,0.0008
355,Cotton,14.99,Upholstery,5,150,0.01
356,Linen,9.08,Upholstery,6,200,0.011
357,Cotton,13.23,Upholstery,5,120,0.0092
358,Cotton,5.34,Overlock,2,100,0.0009
359,Polyester,5.34,Overlock,1,80,0.0008
360,Wool,7.78,Woven,4,80,0.015
361,Cotton,8.89,Straight,3,250,0.21
362,Canvas,13.67,Topstitching,5,150,0.0081
363,Canvas,13.67,Topstitching,5,150,0.0081
364,Leather,8,Two Needle,1,20,0.1093
365,Satin,5.34,Twill,2,100,0.0081
366,Lace,4.11,Embroidery,1,60,0.007
367,Cotton,16.7,Upholstery,5,150,0.203
368,Cotton,8.88,Overlock,3,100,0.00102
369,Polyester,5.34,Overlock,2,90,0.0008
370,Cotton,5.11,Overlock,2,90,0.0009
371,Polyester,5.21,Overlock,1,80,0.0007
372,Cotton,5.34,Topstitching,3,100,0.0021
373,Cotton,5.34,Overlock,3,120,0.0007
374,Silk,8.84,Topstitching,4,140,0.002
375,Leather,8,Two Needle,1,20,0.1134
376,Leather,9,Two Needle,1,20,0.10011
377,Cotton,5.34,Overlock,3,150,0.0001
378,Polyester,4.44,Overlock,2,80,0.00045
379,Cotton,7.77,Topstitching,6,90,0.00326
380,Polyester,6.67,Topstitching,4,110,0.00034
381,Canvas,13.33,Topstitching,5,70,0.0098
382,Canvas,12.11,Topstitching,5,90,0.0118
383,Cotton,16.12,Upholstery,5,100,0.0192
384,Cotton,9.83,Overlock,7,150,0.00567
385,Cotton,13.12,Upholstery,6,120,0.021
386,Polyester,5.34,Overlock,3,90,0.0008
387,Silk,8.99,Topstitching,4,120,0.001
388,Cotton,5.04,Overlock,2,80,0.0008
389,Polyester,5.34,Overlock,1,80,0.0008
390,Cotton,14.99,Upholstery,5,150,0.01
391,Linen,9.08,Upholstery,6,200,0.011
392,Cotton,13.23,Upholstery,5,120,0.0092
393,Cotton,5.34,Overlock,2,100,0.0009
394,Polyester,5.34,Overlock,1,80,0.0008
395,Wool,7.78,Woven,4,80,0.015
396,Cotton,8.89,Straight,3,250,0.21
397,Canvas,13.67,Topstitching,5,150,0.0081
398,Canvas,13.67,Topstitching,5,150,0.0081
399,Leather,8,Two Needle,1,20,0.1093
400,Satin,5.34,Twill,2,100,0.0081
401,Lace,4.11,Embroidery,1,60,0.007
402,Cotton,16.7,Upholstery,5,150,0.203
403,Cotton,8.88,Overlock,3,100,0.00102
404,Polyester,5.34,Overlock,2,90,0.0008
405,Cotton,5.11,Overlock,2,90,0.0009
406,Polyester,5.21,Overlock,1,80,0.0007
407,Cotton,5.34,Topstitching,3,100,0.0021
408,Cotton,5.34,Overlock,3,120,0.0007
409,Silk,8.84,Topstitching,4,140,0.002
410,Leather,8,Two Needle,1,20,0.1134
411,Leather,9,Two Needle,1,20,0.10011
412,Cotton,5.34,Overlock,3,150,0.0001
413,Polyester,4.44,Overlock,2,80,0.00045
414,Cotton,7.77,Topstitching,6,90,0.00326
415,Polyester,6.67,Topstitching,4,110,0.00034
416,Canvas,13.33,Topstitching,5,70,0.0098
417,Canvas,12.11,Topstitching,5,90,0.0118
418,Cotton,16.12,Upholstery,5,100,0.0192
419,Cotton,9.83,Overlock,7,150,0.00567
420,Cotton,13.12,Upholstery,6,120,0.021
421,Polyester,5.34,Overlock,3,90,0.0008
422,Silk,8.99,Topstitching,4,120,0.001
423,Cotton,5.04,Overlock,2,80,0.0008
424,Polyester,5.34,Overlock,1,80,0.0008
425,Cotton,14.99,Upholstery,5,150,0.01
426,Linen,9.08,Upholstery,6,200,0.011
427,Cotton,13.23,Upholstery,5,120,0.0092
428,Cotton,5.34,Overlock,2,100,0.0009
429,Polyester,5.34,Overlock,1,80,0.0008
430,Wool,7.78,Woven,4,80,0.015
431,Cotton,8.89,Straight,3,250,0.21
432,Canvas,13.67,Topstitching,5,150,0.0081
433,Canvas,13.67,Topstitching,5,150,0.0081
434,Leather,8,Two Needle,1,20,0.1093
435,Satin,5.34,Twill,2,100,0.0081
436,Lace,4.11,Embroidery,1,60,0.007
437,Cotton,16.7,Upholstery,5,150,0.203
438,Cotton,8.88,Overlock,3,100,0.00102
439,Polyester,5.34,Overlock,2,90,0.0008
440,Cotton,5.11,Overlock,2,90,0.0009
441,Polyester,5.21,Overlock,1,80,0.0007
442,Cotton,5.34,Topstitching,3,100,0.0021
443,Cotton,5.34,Overlock,3,120,0.0007
444,Silk,8.84,Topstitching,4,140,0.002
445,Leather,8,Two Needle,1,20,0.1134
446,Leather,9,Two Needle,1,20,0.10011
447,Cotton,5.34,Overlock,3,150,0.0001
448,Polyester,4.44,Overlock,2,80,0.00045
449,Cotton,7.77,Topstitching,6,90,0.00326
450,Polyester,6.67,Topstitching,4,110,0.00034
451,Canvas,13.33,Topstitching,5,70,0.0098
452,Canvas,12.11,Topstitching,5,90,0.0118
453,Cotton,16.12,Upholstery,5,100,0.0192
454,Cotton,9.83,Overlock,7,150,0.00567
455,Cotton,13.12,Upholstery,6,120,0.021
456,Polyester,5.34,Overlock,3,90,0.0008
457,Silk,8.99,Topstitching,4,120,0.001
458,Cotton,5.04,Overlock,2,80,0.0008
459,Polyester,5.34,Overlock,1,80,0.0008
460,Cotton,14.99,Upholstery,5,150,0.01
461,Linen,9.08,Upholstery,6,200,0.011
462,Cotton,13.23,Upholstery,5,120,0.0092
463,Cotton,5.34,Overlock,2,100,0.0009
464,Polyester,5.34,Overlock,1,80,0.0008
465,Wool,7.78,Woven,4,80,0.015
466,Cotton,8.89,Straight,3,250,0.21
467,Canvas,13.67,Topstitching,5,150,0.0081
468,Canvas,13.67,Topstitching,5,150,0.0081
469,Leather,8,Two Needle,1,20,0.1093
470,Satin,5.34,Twill,2,100,0.0081
471,Lace,4.11,Embroidery,1,60,0.007
472,Cotton,16.7,Upholstery,5,150,0.203
473,Cotton,8.88,Overlock,3,100,0.00102
474,Polyester,5.34,Overlock,2,90,0.0008
475,Cotton,5.11,Overlock,2,90,0.0009
476,Polyester,5.21,Overlock,1,80,0.0007
477,Cotton,5.34,Topstitching,3,100,0.0021
478,Cotton,5.34,Overlock,3,120,0.0007
479,Silk,8.84,Topstitching,4,140,0.002
480,Leather,8,Two Needle,1,20,0.1134
481,Leather,9,Two Needle,1,20,0.10011
482,Cotton,5.34,Overlock,3,150,0.0001
483,Polyester,4.44,Overlock,2,80,0.00045
484,Cotton,7.77,Topstitching,6,90,0.00326
485,Polyester,6.67,Topstitching,4,110,0.00034
486,Canvas,13.33,Topstitching,5,70,0.0098
487,Canvas,12.11,Topstitching,5,90,0.0118
488,Cotton,16.12,Upholstery,5,100,0.0192
489,Cotton,9.83,Overlock,7,150,0.00567
490,Cotton,13.12,Upholstery,6,120,0.021
491,Polyester,5.34,Overlock,3,90,0.0008
492,Silk,8.99,Topstitching,4,120,0.001
493,Cotton,5.04,Overlock,2,80,0.0008
494,Polyester,5.34,Overlock,1,80,0.0008
495,Cotton,14.99,Upholstery,5,150,0.01
496,Linen,9.08,Upholstery,6,200,0.011
497,Cotton,13.23,Upholstery,5,120,0.0092
498,Cotton,5.34,Overlock,2,100,0.0009
499,Polyester,5.34,Overlock,1,80,0.0008
500,Wool,7.78,Woven,4,80,0.015
501,Cotton,8.89,Straight,3,250,0.21
502,Canvas,13.67,Topstitching,5,150,0.0081
503,Canvas,13.67,Topstitching,5,150,0.0081
504,Leather,8,Two Needle,1,20,0.1093
505,Satin,5.34,Twill,2,100,0.0081
506,Lace,4.11,Embroidery,1,60,0.007
507,Cotton,16.7,Upholstery,5,150,0.203
508,Cotton,8.88,Overlock,3,100,0.00102
509,Polyester,5.34,Overlock,2,90,0.0008
510,Cotton,5.11,Overlock,2,90,0.0009
511,Polyester,5.21,Overlock,1,80,0.0007
512,Cotton,5.34,Topstitching,3,100,0.0021
513,Cotton,5.34,Overlock,3,120,0.0007
514,Silk,8.84,Topstitching,4,140,0.002
515,Leather,8,Two Needle,1,20,0.1134
516,Leather,9,Two Needle,1,20,0.10011
517,Cotton,5.34,Overlock,3,150,0.0001
518,Polyester,4.44,Overlock,2,80,0.00045
519,Cotton,7.77,Topstitching,6,90,0.00326
520,Polyester,6.67,Topstitching,4,110,0.00034
521,Canvas,13.33,Topstitching,5,70,0.0098
522,Canvas,12.11,Topstitching,5,90,0.0118
523,Cotton,16.12,Upholstery,5,100,0.0192
524,Cotton,9.83,Overlock,7,150,0.00567
525,Cotton,13.12,Upholstery,6,120,0.021
526,Polyester,5.34,Overlock,3,90,0.0008
527,Silk,8.99,Topstitching,4,120,0.001
528,Cotton,5.04,Overlock,2,80,0.0008
529,Polyester,5.34,Overlock,1,80,0.0008
530,Cotton,14.99,Upholstery,5,150,0.01
531,Linen,9.08,Upholstery,6,200,0.011
532,Cotton,13.23,Upholstery,5,120,0.0092
533,Cotton,5.34,Overlock,2,100,0.0009
534,Polyester,5.34,Overlock,1,80,0.0008
535,Wool,7.78,Woven,4,80,0.015
536,Cotton,8.89,Straight,3,250,0.21
537,Canvas,13.67,Topstitching,5,150,0.0081
538,Canvas,13.67,Topstitching,5,150,0.0081
539,Leather,8,Two Needle,1,20,0.1093
540,Satin,5.34,Twill,2,100,0.0081
541,Lace,4.11,Embroidery,1,60,0.007
542,Cotton,16.7,Upholstery,5,150,0.203
543,Cotton,8.88,Overlock,3,100,0.00102
544,Polyester,5.34,Overlock,2,90,0.0008
545,Cotton,5.11,Overlock,2,90,0.0009
546,Polyester,5.21,Overlock,1,80,0.0007
547,Cotton,5.34,Topstitching,3,100,0.0021
548,Cotton,5.34,Overlock,3,120,0.0007
549,Silk,8.84,Topstitching,4,140,0.002
550,Leather,8,Two Needle,1,20,0.1134
551,Leather,9,Two Needle,1,20,0.10011
552,Cotton,5.34,Overlock,3,150,0.0001
553,Polyester,4.44,Overlock,2,80,0.00045
554,Cotton,7.77,Topstitching,6,90,0.00326
555,Polyester,6.67,Topstitching,4,110,0.00034
556,Canvas,13.33,Topstitching,5,70,0.0098
557,Canvas,12.11,Topstitching,5,90,0.0118
558,Cotton,16.12,Upholstery,5,100,0.0192
559,Cotton,9.83,Overlock,7,150,0.00567
560,Cotton,13.12,Upholstery,6,120,0.021
